"","ONTOLOGY","ONT_DESCRIPTION","FDR","EA_VALUE","sample","GROUP","GROUP_1","GROUP_2","UP_DOWN","Disease"
"1","GO:0005524","molecular_function",0,0,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"2","GO:0000155","molecular_function",0,0,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"3","GO:0052692","molecular_function",0,0,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"4","GO:0016052","biological_process",0,0,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"5","GO:0097054","biological_process",0,0,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"6","GO:0043565","molecular_function",0,0,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"7","GO:0005975","biological_process",0,0,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"8","GO:0009279","cellular_component",0,0,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"9","GO:0030246","molecular_function",0,0,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"10","GO:0004553","molecular_function",0,0,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"11","GO:0003678","molecular_function",0,0,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"12","GO:0016887","molecular_function",0,0,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"13","GO:0042910","molecular_function",4.44089209850063e-16,4.83563806281179e-14,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"14","GO:0016787","molecular_function",3.77475828372553e-15,3.89396117689581e-13,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"15","GO:0015297","molecular_function",4.66293670342566e-15,4.56967796935714e-13,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"16","GO:0004565","molecular_function",2.94209101525666e-14,2.74595161423955e-12,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"17","GO:0004560","molecular_function",1.18349774425042e-13,1.0543888994231e-11,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"18","GO:0006265","biological_process",4.10338429901458e-12,3.49679705481242e-10,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"19","GO:0004650","molecular_function",5.40456568387526e-12,4.41372864183146e-10,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"20","GO:0004386","molecular_function",9.2308383159434e-12,7.23697723969963e-10,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"21","GO:0008422","molecular_function",5.43053491064427e-10,4.09378785571645e-08,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"22","GO:0006261","biological_process",1.28223665019078e-09,9.30808827545901e-08,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"23","GO:0003917","molecular_function",1.47146739237769e-09,1.03002717466438e-07,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"24","GO:0005694","cellular_component",3.95507893102831e-09,2.67308782924672e-07,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"25","GO:0015093","molecular_function",5.30903121465087e-09,3.46856706023857e-07,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"26","GO:0009341","cellular_component",8.65260230131781e-09,5.470677584059e-07,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"27","GO:0055072","biological_process",2.00203515987596e-08,1.22624653542402e-06,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"28","GO:0006541","biological_process",3.36534653477827e-08,1.94002329651924e-06,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
"29","GO:0006139","biological_process",4.30547981711271e-08,2.41106869758312e-06,"FECAL","fecal.Control.control_vs_fecal.CU.3.meses","control","CU.3.meses","UP","CU"
