"","ONTOLOGY","ONT_DESCRIPTION","FDR","EA_VALUE","sample","GROUP","GROUP_1","GROUP_2","UP_DOWN","Disease"
"1","ec00511","Other glycan degradation",0,2.47101554341659,"FECAL","F.C vs F.CU.3M","control","CU.3.meses","NEUTRAL","CU"
"2","ec00511","Other glycan degradation",0,2.47101554341659,"FECAL","F.C vs F.CU.3M","control","CU.3.meses","NEUTRAL","CU"
"3","ec00511","Other glycan degradation",0.00449114609771435,1.91591673055375,"FECAL","F.C vs F.CU.DE","control","CU.debut","DOWN","CU"
"4","ec00511","Other glycan degradation",0.00068147743076907,1.98317065688312,"FECAL","F.CU.6M vs F.CU.DE","CU.6.meses","CU.debut","NEUTRAL","CU"
"5","ec00511","Other glycan degradation",0.00068147743076907,1.98317065688312,"FECAL","F.CU.6M vs F.CU.DE","CU.6.meses","CU.debut","NEUTRAL","CU"
"6","ec00511","Other glycan degradation",0,3.60735889118761,"FECAL","F.EC.3M vs F.C","EC.3.meses","control","NEUTRAL","EC"
"7","ec00511","Other glycan degradation",0,3.60735889118761,"FECAL","F.EC.3M vs F.C","EC.3.meses","control","NEUTRAL","EC"
"8","ec00511","Other glycan degradation",1.31339383813156e-11,2.32130611963319,"FECAL","F.EC.3M vs F.EC.6M","EC.3.meses","EC.6.meses","NEUTRAL","EC"
"9","ec00511","Other glycan degradation",1.31339383813156e-11,2.32130611963319,"FECAL","F.EC.3M vs F.EC.6M","EC.3.meses","EC.6.meses","NEUTRAL","EC"
"10","ec00511","Other glycan degradation",0,2.47318772489754,"FECAL","F.EC.3M vs F.EC.DE","EC.3.meses","EC.debut","NEUTRAL","EC"
"11","ec00511","Other glycan degradation",0,2.47318772489754,"FECAL","F.EC.3M vs F.EC.DE","EC.3.meses","EC.debut","NEUTRAL","EC"
"12","ec00511","Other glycan degradation",0,2.73495467309976,"FECAL","F.EC.DE vs F.EC.6M","EC.debut","EC.6.meses","NEUTRAL","EC"
"13","ec00511","Other glycan degradation",0,2.73495467309976,"FECAL","F.EC.DE vs F.EC.6M","EC.debut","EC.6.meses","NEUTRAL","EC"
"14","ec00901","Indole alkaloid biosynthesis",0,60.8849325337331,"FECAL","F.C vs F.CU.3M","control","CU.3.meses","NEUTRAL","CU"
"15","ec00901","Indole alkaloid biosynthesis",0,60.8849325337331,"FECAL","F.C vs F.CU.3M","control","CU.3.meses","NEUTRAL","CU"
