"","GROUP","ONTOLOGY","UP_DOWN","ONT_DESCRIPTION","Disease","EA_VALUE","GROUP_1","GROUP_2","sample","ANCESTORS","first_ancestor","first_ancestor_name"
"1","fecal.CU.3.meses_vs_fecal.CU.debut","GO:0000049","DOWN","molecular_function","CU",3.80769203831106e-05,"CU.3.meses","CU.debut","FECAL","GO:0003676, GO:0003723, GO:0097159, GO:0005488","GO:0005488","binding"
"2","fecal.CU.3.meses_vs_fecal.CU.debut","GO:0000150","DOWN","molecular_function","CU",1.73069601965422e-07,"CU.3.meses","CU.debut","FECAL","GO:0090304, GO:0140097, GO:1901360, GO:0008152, GO:0006310, GO:0044238, GO:0006259, GO:0044237, GO:0006139, GO:0009987, GO:0043170, GO:0006725, GO:0046483, GO:0003824, GO:0006807, GO:0034641, GO:0071704, GO:0140640","GO:0008152","metabolic process"
"3","fecal.CU.3.meses_vs_fecal.CU.debut","GO:0000155","DOWN","molecular_function","CU",0,"CU.3.meses","CU.debut","FECAL","GO:0019538, GO:0036211, GO:0007154, GO:1901564, GO:0006468, GO:0044238, GO:0044237, GO:0043170, GO:0050794, GO:0018193, GO:0003824, GO:0000160, GO:0016772, GO:0016310, GO:0016773, GO:0035556, GO:0050896, GO:0016775, GO:0140299, GO:0065007, GO:0140096, GO:0007165, GO:0008152, GO:0004672, GO:0006793, GO:0004673, GO:0043412, GO:0006796, GO:0009987, GO:0006807, GO:0023052, GO:0051716, GO:0018202, GO:0016740, GO:0050789, GO:0016301, GO:0071704, GO:0018106","GO:0003824","catalytic activity"
"4","fecal.CU.3.meses_vs_fecal.CU.debut","GO:0000155","UP","molecular_function","CU",1.44831426018843e-09,"CU.3.meses","CU.debut","FECAL","GO:0019538, GO:0036211, GO:0007154, GO:1901564, GO:0006468, GO:0044238, GO:0044237, GO:0043170, GO:0050794, GO:0018193, GO:0003824, GO:0000160, GO:0016772, GO:0016310, GO:0016773, GO:0035556, GO:0050896, GO:0016775, GO:0140299, GO:0065007, GO:0140096, GO:0007165, GO:0008152, GO:0004672, GO:0006793, GO:0004673, GO:0043412, GO:0006796, GO:0009987, GO:0006807, GO:0023052, GO:0051716, GO:0018202, GO:0016740, GO:0050789, GO:0016301, GO:0071704, GO:0018106","GO:0003824","catalytic activity"
"5","fecal.CU.3.meses_vs_fecal.CU.debut","GO:0000287","DOWN","molecular_function","CU",3.69508326860201e-09,"CU.3.meses","CU.debut","FECAL","GO:0046872, GO:0043167, GO:0043169, GO:0036094, GO:0005488","GO:0005488","binding"
"6","fecal.CU.3.meses_vs_fecal.CU.debut","GO:0000716","DOWN","biological_process","CU",3.79761557015949e-08,"CU.3.meses","CU.debut","FECAL","GO:0006281, GO:1901360, GO:0000715, GO:0006283, GO:0006289, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0033554, GO:0034641, GO:0050896, GO:0090304, GO:0008152, GO:0006996, GO:0006974, GO:0006259, GO:0006139, GO:0009987, GO:0006950, GO:0006725, GO:0051276, GO:0006807, GO:0016043, GO:0051716, GO:0071840, GO:0071704","GO:0050896","response to stimulus"
"7","fecal.CU.3.meses_vs_fecal.CU.debut","GO:0000716","UP","biological_process","CU",0.00678117670372759,"CU.3.meses","CU.debut","FECAL","GO:0006281, GO:1901360, GO:0000715, GO:0006283, GO:0006289, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0033554, GO:0034641, GO:0050896, GO:0090304, GO:0008152, GO:0006996, GO:0006974, GO:0006259, GO:0006139, GO:0009987, GO:0006950, GO:0006725, GO:0051276, GO:0006807, GO:0016043, GO:0051716, GO:0071840, GO:0071704","GO:0050896","response to stimulus"
"8","fecal.CU.3.meses_vs_fecal.CU.debut","GO:0000724","UP","biological_process","CU",0.00568143273035033,"CU.3.meses","CU.debut","FECAL","GO:0006281, GO:1901360, GO:0044238, GO:0044237, GO:0006302, GO:0043170, GO:0046483, GO:0033554, GO:0034641, GO:0050896, GO:0090304, GO:0008152, GO:0000725, GO:0006310, GO:0006259, GO:0006974, GO:0006139, GO:0006950, GO:0009987, GO:0006725, GO:0006807, GO:0051716, GO:0071704","GO:0050896","response to stimulus"
"9","fecal.CU.3.meses_vs_fecal.CU.debut","GO:0001666","UP","biological_process","CU",0.00489994704799807,"CU.3.meses","CU.debut","FECAL","GO:0070482, GO:0009628, GO:0036293, GO:0006950, GO:0050896","GO:0050896","response to stimulus"
"10","fecal.CU.3.meses_vs_fecal.CU.debut","GO:0002161","DOWN","molecular_function","CU",1.48701155913491e-05,"CU.3.meses","CU.debut","FECAL","GO:0016788, GO:1901360, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0016070, GO:0106074, GO:0003824, GO:0034641, GO:0140098, GO:0090304, GO:0065007, GO:0065008, GO:0006450, GO:0034660, GO:0008152, GO:0006399, GO:0006139, GO:0009987, GO:0006725, GO:0006807, GO:0071704, GO:0052689, GO:0016787, GO:0140101, GO:0140640","GO:0003824","catalytic activity"
