"X","ONTOLOGY","ONT_DESCRIPTION","FDR","EA_VALUE","sample","GROUP","GROUP_1","GROUP_2","UP_DOWN","Disease","metabolic_domain","metabolic_subdomain"
1,"ec00511","Other glycan degradation",0,2.47101554341659,"FECAL","F.C vs F.CU.3M","control","CU.3.meses","NEUTRAL","CU","Metabolism"," Glycan biosynthesis and metabolism"
3,"ec00511","Other glycan degradation",0.00449114609771435,1.91591673055375,"FECAL","F.C vs F.CU.DE","control","CU.debut","DOWN","CU","Metabolism"," Glycan biosynthesis and metabolism"
4,"ec00511","Other glycan degradation",0,2.61370052503129,"FECAL",NA,"control","EC.6.meses","NEUTRAL","EC","Metabolism"," Glycan biosynthesis and metabolism"
6,"ec00511","Other glycan degradation",0.000681477430769073,1.98317065688312,"FECAL","F.CU.6M vs F.CU.DE","CU.6.meses","CU.debut","NEUTRAL","CU","Metabolism"," Glycan biosynthesis and metabolism"
8,"ec00511","Other glycan degradation",0,3.60735889118761,"FECAL","F.EC.3M vs F.C","EC.3.meses","control","NEUTRAL","EC","Metabolism"," Glycan biosynthesis and metabolism"
10,"ec00511","Other glycan degradation",1.31339383813156e-11,2.32130611963319,"FECAL","F.EC.3M vs F.EC.6M","EC.3.meses","EC.6.meses","NEUTRAL","EC","Metabolism"," Glycan biosynthesis and metabolism"
12,"ec00511","Other glycan degradation",0,2.47318772489754,"FECAL","F.EC.3M vs F.EC.DE","EC.3.meses","EC.debut","NEUTRAL","EC","Metabolism"," Glycan biosynthesis and metabolism"
14,"ec00511","Other glycan degradation",0,2.73495467309976,"FECAL","F.EC.DE vs F.EC.6M","EC.debut","EC.6.meses","NEUTRAL","EC","Metabolism"," Glycan biosynthesis and metabolism"
16,"ec00901","Indole alkaloid biosynthesis",0,60.8849325337331,"FECAL","F.C vs F.CU.3M","control","CU.3.meses","NEUTRAL","CU","Metabolism"," Biosynthesis of other secondary metabolites"
18,"ec00901","Indole alkaloid biosynthesis",0,53.3467980295567,"FECAL",NA,"control","EC.6.meses","NEUTRAL","EC","Metabolism"," Biosynthesis of other secondary metabolites"
20,"ec00901","Indole alkaloid biosynthesis",0,72.9743935309973,"FECAL","F.EC.3M vs F.EC.6M","EC.3.meses","EC.6.meses","NEUTRAL","EC","Metabolism"," Biosynthesis of other secondary metabolites"
22,"ec00901","Indole alkaloid biosynthesis",0,50.4788688626476,"FECAL","F.EC.3M vs F.EC.DE","EC.3.meses","EC.debut","NEUTRAL","EC","Metabolism"," Biosynthesis of other secondary metabolites"
24,"ec00600","Sphingolipid metabolism",0,3.42581110492484,"FECAL","F.C vs F.CU.3M","control","CU.3.meses","NEUTRAL","CU","Metabolism"," Lipid metabolism"
26,"ec00600","Sphingolipid metabolism",0.00141731894395769,2.1566200895128,"FECAL","F.C vs F.CU.DE","control","CU.debut","DOWN","CU","Metabolism"," Lipid metabolism"
27,"ec00600","Sphingolipid metabolism",0,2.7118473193139,"FECAL",NA,"control","EC.6.meses","NEUTRAL","EC","Metabolism"," Lipid metabolism"
29,"ec00600","Sphingolipid metabolism",0,3.50742917513621,"FECAL","F.EC.3M vs F.C","EC.3.meses","control","NEUTRAL","EC","Metabolism"," Lipid metabolism"
31,"ec00600","Sphingolipid metabolism",0,2.74680487873758,"FECAL","F.EC.3M vs F.EC.6M","EC.3.meses","EC.6.meses","NEUTRAL","EC","Metabolism"," Lipid metabolism"
33,"ec00600","Sphingolipid metabolism",0,2.97741096900366,"FECAL","F.EC.3M vs F.EC.DE","EC.3.meses","EC.debut","NEUTRAL","EC","Metabolism"," Lipid metabolism"
35,"ec00600","Sphingolipid metabolism",0,3.05426952942165,"FECAL","F.EC.DE vs F.EC.6M","EC.debut","EC.6.meses","NEUTRAL","EC","Metabolism"," Lipid metabolism"
37,"ec00603","Glycosphingolipid biosynthesis - globo and isoglobo series",0,3.2265242980712,"FECAL","F.C vs F.CU.3M","control","CU.3.meses","NEUTRAL","CU","Metabolism"," Glycan biosynthesis and metabolism"
39,"ec00603","Glycosphingolipid biosynthesis - globo and isoglobo series",0.0315696275091917,1.96710214280092,"FECAL","F.C vs F.CU.DE","control","CU.debut","DOWN","CU","Metabolism"," Glycan biosynthesis and metabolism"
40,"ec00603","Glycosphingolipid biosynthesis - globo and isoglobo series",9.54791801177635e-15,2.82704986116715,"FECAL",NA,"control","EC.6.meses","NEUTRAL","EC","Metabolism"," Glycan biosynthesis and metabolism"
42,"ec00603","Glycosphingolipid biosynthesis - globo and isoglobo series",0.00043764293553498,2.48863122118621,"FECAL","F.CU.6M vs F.CU.DE","CU.6.meses","CU.debut","NEUTRAL","CU","Metabolism"," Glycan biosynthesis and metabolism"
